date,binn,count
2017-09-02,1,3
2017-09-22,2,1
2017-10-11,1,6
2017-10-25,1,3
2017-11-06,2,9
2018-01-10,1,22
2018-01-15,3,10
2018-01-23,1,21
2018-02-06,1,1
2018-02-14,1,1
2018-03-10,2,4
2018-04-10,1,2
2018-04-26,1,76
2018-04-26,2,113
2018-05-04,1,2
2018-05-11,2,1
2018-05-12,2,31
2018-07-17,1,75
2018-07-17,2,48
2018-08-14,1,10
2018-08-14,2,3
2018-08-17,1,4
2018-08-21,2,1
2018-08-28,2,2
2018-08-31,1,3
2018-09-21,3,9
2018-09-26,2,7
2018-10-07,2,6
2018-10-09,3,4
2018-10-10,3,7
2018-10-11,1,76
2018-10-11,2,135
2018-10-11,3,17
2018-10-16,1,1
2018-10-22,2,6
2018-11-04,2,5
2018-11-06,2,6
2018-11-14,1,16
2018-11-17,2,4
2018-11-19,1,47
2018-11-19,2,77
2018-11-25,1,6
2018-12-12,1,2
2018-12-23,3,3
2018-12-25,2,2
2018-12-31,1,3
2019-01-04,2,9
2019-01-12,2,1
2019-01-15,2,4
2019-01-16,1,1
2019-02-06,2,2
2019-04-04,1,1
2019-04-18,2,3
2019-05-02,2,3
2019-05-02,3,57
2019-05-09,3,1
2019-05-15,3,27
2019-06-27,3,57
2019-06-28,1,21
2019-06-29,2,14
2019-06-29,3,90
2019-06-30,1,75
2019-06-30,2,128
2019-06-30,3,90
2019-08-31,2,2
2019-09-05,1,22
2019-09-05,2,18
2019-09-07,2,4
2019-09-08,3,5
2019-09-11,1,10
2019-09-11,2,68
2019-09-21,1,3
2019-09-26,1,2
2019-09-29,2,5
2019-10-04,1,5
2019-10-16,1,3
2019-10-18,2,1
2020-01-30,3,2
