binn,count,date
1,43,Jan-18
3,10,Jan-18
1,1,Jan-19
2,14,Jan-19
3,2,Jan-20
1,2,Feb-18
2,2,Feb-19
2,4,Mar-18
1,78,Apr-18
2,113,Apr-18
1,1,Apr-19
2,3,Apr-19
1,2,May-18
2,32,May-18
2,3,May-19
3,85,May-19
1,96,Jun-19
2,142,Jun-19
3,237,Jun-19
1,75,Jul-18
2,48,Jul-18
1,17,Aug-18
2,6,Aug-18
2,2,Aug-19
1,3,Sep-17
2,1,Sep-17
2,7,Sep-18
3,9,Sep-18
1,37,Sep-19
2,95,Sep-19
3,5,Sep-19
1,9,Oct-17
1,77,Oct-18
2,147,Oct-18
3,28,Oct-18
1,8,Oct-19
2,1,Oct-19
2,9,Nov-17
1,69,Nov-18
2,92,Nov-18
1,5,Dec-18
2,2,Dec-18
3,3,Dec-18
