week,binn,count,date
1,1,3,Sep-17
1,2,9,Nov-17
1,1,1,Feb-18
1,1,2,May-18
1,2,6,Oct-18
1,2,11,Nov-18
1,2,9,Jan-19
1,2,2,Feb-19
1,1,1,Apr-19
1,2,3,May-19
1,3,57,May-19
1,1,22,Sep-19
1,2,22,Sep-19
1,1,5,Oct-19
2,1,6,Oct-17
2,1,22,Jan-18
2,1,1,Feb-18
2,2,4,Mar-18
2,1,2,Apr-18
2,2,32,May-18
2,1,10,Aug-18
2,2,3,Aug-18
2,1,76,Oct-18
2,2,135,Oct-18
2,3,28,Oct-18
2,1,16,Nov-18
2,1,2,Dec-18
2,2,1,Jan-19
2,3,1,May-19
2,1,10,Sep-19
2,2,68,Sep-19
2,3,5,Sep-19
3,3,10,Jan-18
3,1,75,Jul-18
3,2,48,Jul-18
3,1,4,Aug-18
3,2,1,Aug-18
3,3,9,Sep-18
3,1,1,Oct-18
3,1,47,Nov-18
3,2,81,Nov-18
3,1,1,Jan-19
3,2,4,Jan-19
3,2,3,Apr-19
3,3,27,May-19
3,1,3,Sep-19
3,1,3,Oct-19
3,2,1,Oct-19
4,2,1,Sep-17
4,1,3,Oct-17
4,1,21,Jan-18
4,1,76,Apr-18
4,2,113,Apr-18
4,1,3,Aug-18
4,2,2,Aug-18
4,2,7,Sep-18
4,2,6,Oct-18
4,1,6,Nov-18
4,1,3,Dec-18
4,2,2,Dec-18
4,3,3,Dec-18
4,1,96,Jun-19
4,2,142,Jun-19
4,3,237,Jun-19
4,2,2,Aug-19
4,1,2,Sep-19
4,2,5,Sep-19
4,3,2,Jan-20
